x,top
-9459.37638685,nan
-9434.37638685,nan
-9409.37638685,nan
-9384.37638685,nan
-9359.37638685,nan
-9334.37638685,nan
-9309.37638685,nan
-9284.37638685,nan
-9259.37638685,nan
-9234.37638685,nan
-9209.37638685,nan
-9184.37638685,nan
-9159.37638685,nan
-9134.37638685,nan
-9109.37638685,nan
-9084.37638685,nan
-9059.37638685,nan
-9034.37638685,nan
-9009.37638685,nan
-8984.37638685,nan
-8959.37638685,nan
-8934.37638685,nan
-8909.37638685,nan
-8884.37638685,nan
-8859.37638685,nan
-8834.37638685,nan
-8809.37638685,nan
-8784.37638685,nan
-8759.37638685,nan
-8734.37638685,nan
-8709.37638685,nan
-8684.37638685,nan
-8659.37638685,nan
-8634.37638685,nan
-8609.37638685,nan
-8584.37638685,nan
-8559.37638685,nan
-8534.37638685,nan
-8509.37638685,nan
-8484.37638685,nan
-8459.37638685,nan
-8434.37638685,nan
-8409.37638685,nan
-8384.37638685,nan
-8359.37638685,nan
-8334.37638685,nan
-8309.37638685,nan
-8284.37638685,nan
-8259.37638685,nan
-8234.37638685,nan
-8209.37638685,nan
-8184.37638685,nan
-8159.37638685,nan
-8134.37638685,nan
-8109.37638685,nan
-8084.37638685,nan
-8059.37638685,nan
-8034.37638685,nan
-8009.37638685,nan
-7984.37638685,nan
-7959.37638685,nan
-7934.37638685,nan
-7909.37638685,nan
-7884.37638685,nan
-7859.37638685,nan
-7834.37638685,nan
-7809.37638685,nan
-7784.37638685,nan
-7759.37638685,nan
-7734.37638685,nan
-7709.37638685,nan
-7684.37638685,nan
-7659.37638685,nan
-7634.37638685,nan
-7609.37638685,nan
-7584.37638685,nan
-7559.37638685,nan
-7534.37638685,nan
-7509.37638685,nan
-7484.37638685,nan
-7459.37638685,nan
-7434.37638685,nan
-7409.37638685,nan
-7384.37638685,nan
-7359.37638685,nan
-7334.37638685,nan
-7309.37638685,nan
-7284.37638685,nan
-7259.37638685,nan
-7234.37638685,nan
-7209.37638685,nan
-7184.37638685,nan
-7159.37638685,nan
-7134.37638685,nan
-7109.37638685,nan
-7084.37638685,nan
-7059.37638685,nan
-7034.37638685,nan
-7009.37638685,nan
-6984.37638685,nan
-6959.37638685,nan
-6934.37638685,nan
-6909.37638685,nan
-6884.37638685,nan
-6859.37638685,nan
-6834.37638685,nan
-6809.37638685,nan
-6784.37638685,nan
-6759.37638685,nan
-6734.37638685,nan
-6709.37638685,nan
-6684.37638685,nan
-6659.37638685,nan
-6634.37638685,nan
-6609.37638685,nan
-6584.37638685,nan
-6559.37638685,nan
-6534.37638685,nan
-6509.37638685,nan
-6484.37638685,nan
-6459.37638685,nan
-6434.37638685,nan
-6409.37638685,nan
-6384.37638685,nan
-6359.37638685,nan
-6334.37638685,nan
-6309.37638685,nan
-6284.37638685,nan
-6259.37638685,nan
-6234.37638685,nan
-6209.37638685,nan
-6184.37638685,nan
-6159.37638685,nan
-6134.37638685,nan
-6109.37638685,nan
-6084.37638685,nan
-6059.37638685,nan
-6034.37638685,nan
-6009.37638685,nan
-5984.37638685,nan
-5959.37638685,nan
-5934.37638685,nan
-5909.37638685,nan
-5884.37638685,nan
-5859.37638685,nan
-5834.37638685,nan
-5809.37638685,nan
-5784.37638685,nan
-5759.37638685,nan
-5734.37638685,nan
-5709.37638685,nan
-5684.37638685,nan
-5659.37638685,nan
-5634.37638685,nan
-5609.37638685,nan
-5584.37638685,nan
-5559.37638685,nan
-5534.37638685,nan
-5509.37638685,nan
-5484.37638685,nan
-5459.37638685,nan
-5434.37638685,nan
-5409.37638685,nan
-5384.37638685,nan
-5359.37638685,nan
-5334.37638685,nan
-5309.37638685,nan
-5284.37638685,nan
-5259.37638685,nan
-5234.37638685,nan
-5209.37638685,nan
-5184.37638685,nan
-5159.37638685,nan
-5134.37638685,nan
-5109.37638685,nan
-5084.37638685,nan
-5059.37638685,nan
-5034.37638685,nan
-5009.37638685,nan
-4984.37638685,nan
-4959.37638685,nan
-4934.37638685,nan
-4909.37638685,nan
-4884.37638685,nan
-4859.37638685,nan
-4834.37638685,nan
-4809.37638685,nan
-4784.37638685,nan
-4759.37638685,nan
-4734.37638685,nan
-4709.37638685,nan
-4684.37638685,nan
-4659.37638685,nan
-4634.37638685,nan
